date,portfolio_value,cash,positions
20180227,1000000,1000000,{}
20180228,1000000,1000000,{}
20180301,1000000,1000000,{}
20180302,1000000,1000000,{}
20180305,1000000,1000000,{}
20180306,1000000,1000000,{}
20180307,1000000,1000000,{}
20180308,1000000,1000000,{}
20180309,1000000,1000000,{}
20180312,1000000,1000000,{}
20180313,1000000,1000000,{}
20180314,1000000,1000000,{}
20180315,1000000,1000000,{}
20180316,1000000,1000000,{}
20180319,1000000,1000000,{}
20180320,1000000,1000000,{}
20180321,1000000,1000000,{}
20180322,1000000,1000000,{}
20180323,1000000,1000000,{}
20180326,1000000,1000000,{}
20180327,1000000,1000000,{}
20180328,1000000,1000000,{}
20180329,1000000,1000000,{}
20180402,1000000,1000000,{}
20180403,1000000,1000000,{}
20180404,1000000,1000000,{}
20180405,1000000,1000000,{}
20180406,1000000,1000000,{}
20180409,1000000,1000000,{}
20180410,1000000,1000000,{}
20180411,1000000,1000000,{}
20180412,1000000,1000000,{}
20180413,1000000,1000000,{}
20180416,1000000,1000000,{}
20180417,1000000,1000000,{}
20180418,1000000,1000000,{}
20180419,1000000,1000000,{}
20180420,1000000,1000000,{}
20180423,1000000,1000000,{}
20180424,1000000,1000000,{}
20180425,1000000,1000000,{}
20180426,1000000,1000000,{}
20180427,1000000,1000000,{}
20180430,1000000,1000000,{}
20180501,1000000,1000000,{}
20180502,1000000,1000000,{}
20180503,1000000,1000000,{}
20180504,1000000,1000000,{}
20180507,1000000,1000000,{}
20180508,1000000,1000000,{}
20180509,1000000,1000000,{}
20180510,1000000,1000000,{}
20180511,1000000,1000000,{}
20180514,1000000,1000000,{}
20180515,1000000,1000000,{}
20180516,1000000,1000000,{}
20180517,1000000,1000000,{}
20180518,1000000,1000000,{}
20180521,1000000,1000000,{}
20180522,1000000,1000000,{}
20180523,1000000,1000000,{}
20180524,1000000,1000000,{}
20180525,1000000,1000000,{}
20180529,1000000,1000000,{}
20180530,1000000,1000000,{}
20180531,1000000,1000000,{}
20180601,1000000,1000000,{}
20180604,1000000,1000000,{}
20180605,1000000,1000000,{}
20180606,1000000,1000000,{}
20180607,1000000,1000000,{}
20180608,1000000,1000000,{}
20180611,1000000,1000000,{}
20180612,1000000,1000000,{}
20180613,1000000,1000000,{}
20180614,1000000,1000000,{}
20180615,1000000,1000000,{}
20180618,1000000,1000000,{}
20180619,1000000,1000000,{}
20180620,1000000,1000000,{}
20180621,1000000,1000000,{}
20180622,1000000,1000000,{}
20180625,1000000,1000000,{}
20180626,1000000,1000000,{}
20180627,1000000,1000000,{}
20180628,1000000,1000000,{}
20180629,1000000,1000000,{}
20180702,1000000,1000000,{}
20180703,1000000,1000000,{}
20180705,1000000,1000000,{}
20180706,1000000,1000000,{}
20180709,1000000,1000000,{}
20180710,1000000,1000000,{}
20180711,1000000,1000000,{}
20180712,1000000,1000000,{}
20180713,1000000,1000000,{}
20180716,1000000,1000000,{}
20180717,1000000,1000000,{}
20180718,1000000,1000000,{}
20180719,1000000,1000000,{}
20180720,1000000,1000000,{}
20180723,1000000,1000000,{}
20180724,1000000,1000000,{}
20180725,1000000,1000000,{}
20180726,1000000,1000000,{}
20180727,1000000,1000000,{}
20180730,1000000,1000000,{}
20180731,1000000,1000000,{}
20180801,1000000,1000000,{}
20180802,1000000,1000000,{}
20180803,1000000,1000000,{}
20180806,1000000,1000000,{}
20180807,1000000,1000000,{}
20180808,1000000,1000000,{}
20180809,1000000,1000000,{}
20180810,1000000,1000000,{}
20180813,1000000,1000000,{}
20180814,1000000,1000000,{}
20180815,1000000,1000000,{}
20180816,1000000,1000000,{}
20180817,1000000,1000000,{}
20180820,1000000,1000000,{}
20180821,1000000,1000000,{}
20180822,1000000,1000000,{}
20180823,1000000,1000000,{}
20180824,1000000,1000000,{}
20180827,1000000,1000000,{}
20180828,1000000,1000000,{}
20180829,1000000,1000000,{}
20180830,1000000,1000000,{}
20180831,1000000,1000000,{}
20180904,1000000,1000000,{}
20180905,1000000,1000000,{}
20180906,1000000,1000000,{}
20180907,1000000,1000000,{}
20180910,1000000,1000000,{}
20180911,1000000,1000000,{}
20180912,1000000,1000000,{}
20180913,1000000,1000000,{}
20180914,1000000,1000000,{}
20180917,1000000,1000000,{}
20180918,1000000,1000000,{}
20180919,1000000,1000000,{}
20180920,1000000,1000000,{}
20180921,1000000,1000000,{}
20180924,1000000,1000000,{}
20180925,1000000,1000000,{}
20180926,1000000,1000000,{}
20180927,1000000,1000000,{}
20180928,1000000,1000000,{}
20181001,1000000,1000000,{}
20181002,1000000,1000000,{}
20181003,1000000,1000000,{}
20181004,1000000,1000000,{}
20181005,1000000,1000000,{}
20181008,1000000,1000000,{}
20181009,1000000,1000000,{}
20181010,1000000,1000000,{}
20181011,1000000,1000000,{}
20181012,1000000,1000000,{}
20181015,1000000,1000000,{}
20181016,1000000,1000000,{}
20181017,1000000,1000000,{}
20181018,1000000,1000000,{}
20181019,1000000,1000000,{}
20181022,1000000,1000000,{}
20181023,1000000,1000000,{}
20181024,1000000,1000000,{}
20181025,1000000,1000000,{}
20181026,1000000,1000000,{}
20181029,1000000,1000000,{}
20181030,1000000,1000000,{}
20181031,1000000,1000000,{}
20181101,1000000,1000000,{}
20181102,1000000,1000000,{}
20181105,1000000,1000000,{}
20181106,1000000,1000000,{}
20181107,1000000,1000000,{}
20181108,1000000,1000000,{}
20181109,1000000,1000000,{}
20181112,1000000,1000000,{}
20181113,1000000,1000000,{}
20181114,1000000,1000000,{}
20181115,1000000,1000000,{}
20181116,1000000,1000000,{}
20181119,1000000,1000000,{}
20181120,1000000,1000000,{}
20181121,1000000,1000000,{}
20181123,1000000,1000000,{}
20181126,1000000,1000000,{}
20181127,1000000,1000000,{}
20181128,1000000,1000000,{}
20181129,1000000,1000000,{}
20181130,1000000,1000000,{}
20181203,1000000,1000000,{}
20181204,1000000,1000000,{}
20181206,1000000,1000000,{}
20181207,1000000,1000000,{}
20181210,1000000,1000000,{}
20181211,1000000,1000000,{}
20181212,1000000,1000000,{}
20181213,1000000,1000000,{}
20181214,1000000,1000000,{}
20181217,1000000,1000000,{}
20181218,1000000,1000000,{}
20181219,1000000,1000000,{}
20181220,1000000,1000000,{}
20181221,1000000,1000000,{}
20181224,1000000,1000000,{}
20181226,1000000,1000000,{}
20181227,1000000,1000000,{}
20181228,1000000,1000000,{}
20181231,1000000,1000000,{}
20190102,1000000,1000000,{}
20190103,1000000,1000000,{}
20190104,1000000,1000000,{}
20190107,1000000,1000000,{}
20190108,1000000,1000000,{}
20190109,1000000,1000000,{}
20190110,1000000,1000000,{}
20190111,1000000,1000000,{}
20190114,1000000,1000000,{}
20190115,1000000,1000000,{}
20190116,1000000,1000000,{}
20190117,1000000,1000000,{}
20190118,1000000,1000000,{}
20190122,1000000,1000000,{}
20190123,1000000,1000000,{}
20190124,1000000,1000000,{}
20190125,1000000,1000000,{}
20190128,1000000,1000000,{}
20190129,1000000,1000000,{}
20190130,1000000,1000000,{}
20190131,1000000,1000000,{}
20190201,1000000,1000000,{}
20190204,1000000,1000000,{}
20190205,1000000,1000000,{}
20190206,1000000,1000000,{}
20190207,1000000,1000000,{}
20190208,1000000,1000000,{}
20190211,1000000,1000000,{}
20190212,1000000,1000000,{}
20190213,1000000,1000000,{}
20190214,1000000,1000000,{}
20190215,1000000,1000000,{}
20190219,1000000,1000000,{}
20190220,1000000,1000000,{}
20190221,1000000,1000000,{}
20190222,1000000,1000000,{}
20190225,1000000,1000000,{}
20190226,1000000,1000000,{}
20190227,1000000,1000000,{}
20190228,1000000,1000000,{}
20190301,1000000,1000000,{}
20190304,1000000,1000000,{}
20190305,1000000,1000000,{}
20190306,1000000,1000000,{}
20190307,1000000,1000000,{}
20190308,1000000,1000000,{}
20190311,1000000,1000000,{}
20190312,1000000,1000000,{}
20190313,1000000,1000000,{}
20190314,1000000,1000000,{}
20190315,1000000,1000000,{}
20190318,1000000,1000000,{}
20190319,1000000,1000000,{}
20190320,1000000,1000000,{}
20190321,1000000,1000000,{}
20190322,1000000,1000000,{}
20190325,1000000,1000000,{}
20190326,1000000,1000000,{}
20190327,1000000,1000000,{}
20190328,1000000,1000000,{}
20190329,1000000,1000000,{}
20190401,1000000,1000000,{}
20190402,1000000,1000000,{}
20190403,1000000,1000000,{}
20190404,1000000,1000000,{}
20190405,1000000,1000000,{}
20190408,1000000,1000000,{}
20190409,1000000,1000000,{}
20190410,1000000,1000000,{}
20190411,1000000,1000000,{}
20190412,1000000,1000000,{}
20190415,1000000,1000000,{}
20190416,1000000,1000000,{}
20190417,1000000,1000000,{}
20190418,1000000,1000000,{}
20190422,1000000,1000000,{}
20190423,1000000,1000000,{}
20190424,1000000,1000000,{}
20190425,1000000,1000000,{}
20190426,1000000,1000000,{}
20190429,1000000,1000000,{}
20190430,1000000,1000000,{}
20190501,1000000,1000000,{}
20190502,1000000,1000000,{}
20190503,1000000,1000000,{}
20190506,1000000,1000000,{}
20190507,1000000,1000000,{}
20190508,1000000,1000000,{}
20190509,1000000,1000000,{}
20190510,1000000,1000000,{}
20190513,1000000,1000000,{}
20190514,1000000,1000000,{}
20190515,1000000,1000000,{}
20190516,1000000,1000000,{}
20190517,1000000,1000000,{}
20190520,1000000,1000000,{}
20190521,1000000,1000000,{}
20190522,1000000,1000000,{}
20190523,1000000,1000000,{}
20190524,1000000,1000000,{}
20190528,1000000,1000000,{}
20190529,1000000,1000000,{}
20190530,1000000,1000000,{}
20190531,1000000,1000000,{}
20190603,1000000,1000000,{}
20190604,1000000,1000000,{}
20190605,1000000,1000000,{}
20190606,1000000,1000000,{}
20190607,1000000,1000000,{}
20190610,1000000,1000000,{}
20190611,1000000,1000000,{}
20190612,1000000,1000000,{}
20190613,1000000,1000000,{}
20190614,1000000,1000000,{}
20190617,1000000,1000000,{}
20190618,1000000,1000000,{}
20190619,1000000,1000000,{}
20190620,1000000,1000000,{}
20190621,1000000,1000000,{}
20190624,1000000,1000000,{}
20190625,1000000,1000000,{}
20190626,1000000,1000000,{}
20190627,1000000,1000000,{}
20190628,1000000,1000000,{}
20190701,1000000,1000000,{}
20190702,1000000,1000000,{}
20190703,1000000,1000000,{}
20190705,1000000,1000000,{}
20190708,1000000,1000000,{}
20190709,1000000,1000000,{}
20190710,1000000,1000000,{}
20190711,1000000,1000000,{}
20190712,1000000,1000000,{}
20190715,1000000,1000000,{}
20190716,1000000,1000000,{}
20190717,1000000,1000000,{}
20190718,1000000,1000000,{}
20190719,1000000,1000000,{}
20190722,1000000,1000000,{}
20190723,1000000,1000000,{}
20190724,1000000,1000000,{}
20190725,1000000,1000000,{}
20190726,1000000,1000000,{}
20190729,1000000,1000000,{}
20190730,1000000,1000000,{}
20190731,1000000,1000000,{}
20190801,1000000,1000000,{}
20190802,1000000,1000000,{}
20190805,1000000,1000000,{}
20190806,1000000,1000000,{}
20190807,1000000,1000000,{}
20190808,1000000,1000000,{}
20190809,1000000,1000000,{}
20190812,1000000,1000000,{}
20190813,1000000,1000000,{}
20190814,1000000,1000000,{}
20190815,1000000,1000000,{}
20190816,1000000,1000000,{}
20190819,1000000,1000000,{}
20190820,1000000,1000000,{}
20190821,1000000,1000000,{}
20190822,1000000,1000000,{}
20190823,1000000,1000000,{}
20190826,1000000,1000000,{}
20190827,1000000,1000000,{}
20190828,1000000,1000000,{}
20190829,1000000,1000000,{}
20190830,1000000,1000000,{}
20190903,1000000,1000000,{}
20190904,1000000,1000000,{}
20190905,1000000,1000000,{}
20190906,1000000,1000000,{}
20190909,1000000,1000000,{}
20190910,1000000,1000000,{}
20190911,1000000,1000000,{}
